code|text
10000006|Radiating chest pain (finding)
10001005|Bacterial sepsis (disorder)
10007009|Coffin-Siris syndrome (disorder)
1001000119102|Pulmonary embolism with pulmonary infarction (disorder)
1001000124104|Normal left ventricular systolic function (finding)
10017004|Occlusal wear of teeth (disorder)
100171000119109|Eosinophilic mucin rhinosinusitis (disorder)
100191000119105|Asymmetry of prostate (finding)
100211000119106|Muscle spasm of thoracic back (finding)
1002191006|Increased amino acid level in urine due to decreased renal function (finding)
1002192004|Osteolysis of phalanx of middle finger (disorder)
1002193009|Osteolysis of phalanx of ring finger (disorder)
1002194003|Transient increase in amino acid level in urine (finding)
1002195002|Osteolysis of phalanx of little finger (disorder)
1002196001|Osteolysis of proximal phalanx of index finger (disorder)
1002197005|Osteolysis of proximal phalanx of middle finger (disorder)
1002198000|Osteolysis of proximal phalanx of ring finger (disorder)
1002199008|Osteolysis of proximal phalanx of little finger (disorder)
1002200006|Osteolysis of carpus (disorder)
1002201005|Osteolysis of metacarpal bone (disorder)
1002202003|Osteolysis of proximal phalanx of thumb (disorder)
1002203008|Increased 4-hydroxyphenylpyruvic acid level in urine (finding)
1002204002|Increased 4-hydroxyphenylacetic acid level in urine (finding)
1002205001|Osteolysis of phalanx of thumb (disorder)
1002206000|Osteolysis of first metacarpal (disorder)
1002207009|Osteolysis of distal phalanx of hand (disorder)
1002208004|Osteolysis of bone of hand (disorder)
1002209007|Osteolysis of middle phalanx of finger (disorder)
1002210002|Osteolysis of phalanx of hand (disorder)
1002211003|Osteolysis of bone of lower limb (disorder)
1002212005|Osteolysis of bone of upper limb (disorder)
1002213000|Osteolysis of patella (disorder)
1002214006|Osteolysis of scaphoid (disorder)
1002215007|Osteolysis of talus (disorder)
1002216008|Osteolysis of distal epiphysis of radius (disorder)
1002229008|Apocrine miliaria of areola (disorder)
1002253002|Immunization series incomplete (finding)
100231000119101|Acquired pericardial cyst (disorder)
1003002|Religious discrimination (finding)
1003295001|Congenital clinodactyly of index finger (disorder)
1003296000|Congenital clinodactyly of middle finger (disorder)
1003297009|Congenital clinodactyly of ring finger (disorder)
